ID_EXPEDIENTE;DS_ESTADO;FC_SOLICITUD;TL_FECHA_INI_PER;TL_FECHA_FIN_PER;TL_MUN_INTER;TLLOCALIDAD_AFEC1;TLLOCALIDAD_AFEC2;TLLOCALIDAD_AFEC3;TLLOCALIDAD_AFEC4;TLLOCALIDAD_AFEC5;TLLOCALIDAD_AFEC6;TLLOCALIDAD_AFEC7;ITCAUSAS_EXPO;TL_CAUSA_FM;TL_CAUSA_ECO;ITCAUSAS_OR;TL_CAUSA_TEC;TL_CAUSA_PRO;TL_CNAE_09;DSCNAE;NUM_TRAB_PLANT;NUM_TRAB_AFECT;TL_MED_SUSP;TL_MED_RED;TL_MED_EXT
09/2874/00891.6/2022;Iniciado;2022-07-21 17:16:43.0;01/09/2022;31/08/2023;San Sebastián de los Reyes;S S REYES;;;;;;;OTRAS;NO;SI;NO;NO;NO;4645;Comercio al por mayor de productos de perfumería y cosmética;4;3;NO;SI;NO
09/2874/00901.0/2022;Iniciado;2022-07-29 16:23:09.0;29/08/2022;31/12/2099;Majadahonda;MAJADAHONDA;;;;;;;OTRAS;NO;SI;NO;NO;NO;5610;Restaurantes y puestos de comidas;8;8;NO;NO;SI
09/2874/00911.2/2022;Iniciado;2022-08-09 10:59:01.0;08/08/2022;30/09/2022;Madrid;MADRID;;;;;;;OTRAS;NO;NO;NO;NO;NO;8532;Educación secundaria técnica y profesional;138;2;SI;NO;NO
09/2874/00921.4/2022;Iniciado;2022-08-23 10:57:30.0;01/09/2022;30/09/2022;Collado Villalba;COLLADO VILLALBA;;;;;;;OTRAS;NO;NO;NO;SI;NO;4520;Mantenimiento y reparación de vehículos de motor;2;2;SI;NO;NO
09/2874/00932.7/2022;Iniciado;2022-09-05 13:07:17.0;06/09/2022;31/10/2022;Fuenlabrada;FUENLABRADA;;;;;;;OTRAS;NO;SI;NO;NO;NO;8510;Educación preprimaria;7;2;SI;NO;NO
09/2874/00942.0/2022;Iniciado;2022-09-12 12:58:43.0;01/09/2022;31/01/2023;Coslada;COSLADA;;;;;;;OTRAS;NO;SI;NO;NO;NO;3320;Instalación de máquinaria y equipos industriales;3;1;SI;NO;NO
09/2874/00953.3/2022;Iniciado;2022-09-20 19:15:02.0;21/09/2022;21/12/2022;Alcalá de Henares;Alcalá de Henares;;;;;;;OTRAS;NO;NO;NO;SI;NO;4932;Transporte por taxi;3;1;SI;NO;NO
;NO;NO;SI
09/2874/00971.5/2022;Iniciado;2022-10-05 16:00:36.0;05/11/2022;05/11/2022;Madrid;MADRID;BARCELONA;ALICANTE;;;;;OTRAS;NO;SI;NO;NO;NO;6209;Otros servicios relacionados con las tecnologías de la información y la informática;7;7;NO;NO;SI
09/2874/00980.6/2022;Iniciado;2022-10-13 16:04:01.0;15/11/2022;20/12/2022;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;8541;Educación postsecundaria no terciaria;119;15;NO;NO;SI
09/2874/00991.0/2022;Iniciado;2022-10-18 16:49:48.0;01/10/2022;31/12/2022;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;5610;Restaurantes y puestos de comidas;4;4;SI;NO;NO
09/2874/01001.4/2022;Iniciado;2022-10-28 13:21:30.0;01/11/2022;30/04/2023;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;6201;Actividades de programación informática;2;1;SI;NO;NO
09/2874/01011.6/2022;Iniciado;2022-11-04 08:48:39.0;11/11/2022;11/11/2022;Algete;ALGETE;;;;;;;OTRAS;NO;SI;NO;NO;NO;8292;Actividades de envasado y empaquetado;10;10;NO;NO;SI
09/2874/01021.8/2022;Iniciado;2022-11-10 15:14:14.0;16/11/2022;30/06/2023;Parla;PARLA;;;;;;;OTRAS;NO;NO;NO;NO;NO;4511;Venta de automóviles y vehículos de motor ligeros;35;2;SI;NO;NO
09/2874/01028.6/2022;Iniciado;2022-11-15 14:28:12.0;10/12/2022;28/12/2022;Móstoles;MOSTOLES;;;;;;;OTRAS;NO;SI;NO;NO;NO;7120;Ensayos y análisis técnicos;13;13;NO;NO;SI
